track_name,album_release_date
Girl At Home (Taylor's Version),2021-11-12
State Of Grace (Acoustic Version) (Taylor's Version),2021-11-12
Ronan (Taylor's Version),2021-11-12
Better Man (Taylor's Version) (From The Vault),2021-11-12
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),2021-11-12
Babe (Taylor's Version) (From The Vault),2021-11-12
Message In A Bottle (Taylor's Version) (From The Vault),2021-11-12
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),2021-11-12
Forever Winter (Taylor's Version) (From The Vault),2021-11-12
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),2021-11-12
The Very First Night (Taylor's Version) (From The Vault),2021-11-12
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021-11-12
Lavender Haze,2022-10-21
Maroon,2022-10-21
Anti-Hero,2022-10-21
Snow On The Beach (feat. Lana Del Rey),2022-10-21
"You're On Your Own, Kid",2022-10-21
Midnight Rain,2022-10-21
Question...?,2022-10-21
Vigilante Shit,2022-10-21
Bejeweled,2022-10-21
Labyrinth,2022-10-21
Karma,2022-10-21
Sweet Nothing,2022-10-21
Mastermind,2022-10-21
Lavender Haze,2022-10-22
Maroon,2022-10-22
Anti-Hero,2022-10-22
Snow On The Beach (feat. Lana Del Rey),2022-10-22
"You're On Your Own, Kid",2022-10-22
Midnight Rain,2022-10-22
Question...?,2022-10-22
Vigilante Shit,2022-10-22
Bejeweled,2022-10-22
Labyrinth,2022-10-22
Karma,2022-10-22
Sweet Nothing,2022-10-22
Mastermind,2022-10-22
The Great War,2022-10-22
Bigger Than The Whole Sky,2022-10-22
Paris,2022-10-22
High Infidelity,2022-10-22
Glitch,2022-10-22
"Would've, Could've, Should've",2022-10-22
Dear Reader,2022-10-22
Lavender Haze,2023-05-26
Maroon,2023-05-26
Anti-Hero,2023-05-26
Snow On The Beach (feat. Lana Del Rey),2023-05-26
"You're On Your Own, Kid",2023-05-26
Midnight Rain,2023-05-26
Question...?,2023-05-26
Vigilante Shit,2023-05-26
Bejeweled,2023-05-26
Labyrinth,2023-05-26
Karma,2023-05-26
Sweet Nothing,2023-05-26
Mastermind,2023-05-26
The Great War,2023-05-26
Bigger Than The Whole Sky,2023-05-26
Paris,2023-05-26
High Infidelity,2023-05-26
Glitch,2023-05-26
"Would've, Could've, Should've",2023-05-26
Dear Reader,2023-05-26
Hits Different,2023-05-26
Snow On The Beach (feat. More Lana Del Rey),2023-05-26
Karma (feat. Ice Spice),2023-05-26
Mine (Taylor's Version),2023-07-07
Sparks Fly (Taylor’s Version),2023-07-07
Back To December (Taylor's Version),2023-07-07
Speak Now (Taylor's Version),2023-07-07
Dear John (Taylor's Version),2023-07-07
Mean (Taylor's Version),2023-07-07
The Story Of Us (Taylor's Version),2023-07-07
Never Grow Up (Taylor's Version),2023-07-07
Enchanted (Taylor's Version),2023-07-07
Better Than Revenge (Taylor's Version),2023-07-07
Innocent (Taylor's Version),2023-07-07
Haunted (Taylor's Version),2023-07-07
Last Kiss (Taylor's Version),2023-07-07
Long Live (Taylor's Version),2023-07-07
Ours (Taylor’s Version),2023-07-07
Superman (Taylor’s Version),2023-07-07
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),2023-07-07
When Emma Falls in Love (Taylor’s Version) (From The Vault),2023-07-07
I Can See You (Taylor’s Version) (From The Vault),2023-07-07
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),2023-07-07
Foolish One (Taylor’s Version) (From The Vault),2023-07-07
Timeless (Taylor’s Version) (From The Vault),2023-07-07
Welcome To New York (Taylor's Version),2023-10-26
Blank Space (Taylor's Version),2023-10-26
Style (Taylor's Version),2023-10-26
Out Of The Woods (Taylor's Version),2023-10-26
All You Had To Do Was Stay (Taylor's Version),2023-10-26
Shake It Off (Taylor's Version),2023-10-26
I Wish You Would (Taylor's Version),2023-10-26
Bad Blood (Taylor's Version),2023-10-26
Wildest Dreams (Taylor's Version),2023-10-26
How You Get The Girl (Taylor's Version),2023-10-26
This Love (Taylor’s Version),2023-10-26
I Know Places (Taylor's Version),2023-10-26
Clean (Taylor's Version),2023-10-26
Wonderland (Taylor's Version),2023-10-26
You Are In Love (Taylor's Version),2023-10-26
New Romantics (Taylor's Version),2023-10-26
"""Slut!"" (Taylor's Version) (From The Vault)",2023-10-26
Say Don't Go (Taylor's Version) (From The Vault),2023-10-26
Now That We Don't Talk (Taylor's Version) (From The Vault),2023-10-26
Suburban Legends (Taylor's Version) (From The Vault),2023-10-26
Is It Over Now? (Taylor's Version) (From The Vault),2023-10-26
Welcome To New York (Taylor's Version),2023-10-27
Blank Space (Taylor's Version),2023-10-27
Style (Taylor's Version),2023-10-27
Out Of The Woods (Taylor's Version),2023-10-27
All You Had To Do Was Stay (Taylor's Version),2023-10-27
Shake It Off (Taylor's Version),2023-10-27
I Wish You Would (Taylor's Version),2023-10-27
Bad Blood (Taylor's Version),2023-10-27
Wildest Dreams (Taylor's Version),2023-10-27
How You Get The Girl (Taylor's Version),2023-10-27
This Love (Taylor’s Version),2023-10-27
I Know Places (Taylor's Version),2023-10-27
Clean (Taylor's Version),2023-10-27
Wonderland (Taylor's Version),2023-10-27
You Are In Love (Taylor's Version),2023-10-27
New Romantics (Taylor's Version),2023-10-27
"""Slut!"" (Taylor's Version) (From The Vault)",2023-10-27
Say Don't Go (Taylor's Version) (From The Vault),2023-10-27
Now That We Don't Talk (Taylor's Version) (From The Vault),2023-10-27
Suburban Legends (Taylor's Version) (From The Vault),2023-10-27
Is It Over Now? (Taylor's Version) (From The Vault),2023-10-27
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),2023-10-27
Fortnight (feat. Post Malone),2024-04-18
The Tortured Poets Department,2024-04-18
My Boy Only Breaks His Favorite Toys,2024-04-18
Down Bad,2024-04-18
"So Long, London",2024-04-18
But Daddy I Love Him,2024-04-18
Fresh Out The Slammer,2024-04-18
Florida!!! (feat. Florence + The Machine),2024-04-18
Guilty as Sin?,2024-04-18
Who’s Afraid of Little Old Me?,2024-04-18
I Can Fix Him (No Really I Can),2024-04-18
loml,2024-04-18
I Can Do It With a Broken Heart,2024-04-18
The Smallest Man Who Ever Lived,2024-04-18
The Alchemy,2024-04-18
Clara Bow,2024-04-18
Fortnight (feat. Post Malone),2024-04-19
The Tortured Poets Department,2024-04-19
My Boy Only Breaks His Favorite Toys,2024-04-19
Down Bad,2024-04-19
"So Long, London",2024-04-19
But Daddy I Love Him,2024-04-19
Fresh Out The Slammer,2024-04-19
Florida!!! (feat. Florence + The Machine),2024-04-19
Guilty as Sin?,2024-04-19
Who’s Afraid of Little Old Me?,2024-04-19
I Can Fix Him (No Really I Can),2024-04-19
loml,2024-04-19
I Can Do It With a Broken Heart,2024-04-19
The Smallest Man Who Ever Lived,2024-04-19
The Alchemy,2024-04-19
Clara Bow,2024-04-19
The Black Dog,2024-04-19
imgonnagetyouback,2024-04-19
The Albatross,2024-04-19
Chloe or Sam or Sophia or Marcus,2024-04-19
How Did It End?,2024-04-19
So High School,2024-04-19
I Hate It Here,2024-04-19
thanK you aIMee,2024-04-19
I Look in People's Windows,2024-04-19
The Prophecy,2024-04-19
Cassandra,2024-04-19
Peter,2024-04-19
The Bolter,2024-04-19
Robin,2024-04-19
The Manuscript,2024-04-19
